POLITICAL_UNIT,NAME,WGMS_ID,YEAR,POINT_ID,FROM_DATE,TO_DATE,POINT_LAT,POINT_LON,POINT_ELEVATION,POINT_BALANCE,POINT_BALANCE_UNCERTAINTY,DENSITY,DENSITY_UNCERTAINTY,BALANCE_CODE,REMARKS,RGIId,aspect,slope
NO,JUVFONNE,3661,2011,2,20101009,20110506,61.677345,8.351158,1885,1170,150.0,440.0,60.0,IN,,RGI60-08.00868,1.5833326578140259,0.48001834750175476
NO,JUVFONNE,3661,2011,2,20101009,20111010,61.677345,8.351158,1885,-1880,150.0,900.0,30.0,IN,,RGI60-08.00868,1.5833326578140259,0.48001834750175476
NO,JUVFONNE,3661,2012,2,20111010,20120611,61.677345,8.351158,1884,1440,150.0,515.0,60.0,IN,,RGI60-08.00868,1.5833326578140259,0.48001834750175476
NO,JUVFONNE,3661,2012,2,20111010,20120912,61.677345,8.351158,1884,70,150.0,600.0,60.0,IN,,RGI60-08.00868,1.5833326578140259,0.48001834750175476
NO,JUVFONNE,3661,2013,2,20120912,20130525,61.677345,8.351158,1882,960,150.0,490.0,60.0,IN,,RGI60-08.00868,1.5833326578140259,0.48001834750175476
NO,JUVFONNE,3661,2013,2,20120912,20130911,61.677345,8.351158,1882,-1550,150.0,900.0,30.0,IN,,RGI60-08.00868,1.5833326578140259,0.48001834750175476
NO,JUVFONNE,3661,2014,2,20130911,20140512,61.677345,8.351158,1882,1210,150.0,463.0,60.0,IN,,RGI60-08.00868,1.5833326578140259,0.48001834750175476
NO,JUVFONNE,3661,2014,2,20130911,20140909,61.677345,8.351158,1882,-2300,150.0,900.0,30.0,IN,,RGI60-08.00868,1.5833326578140259,0.48001834750175476
NO,JUVFONNE,3661,2015,2,20140909,20150513,61.677345,8.351158,1880,1460,150.0,451.0,60.0,IN,,RGI60-08.00868,1.5833326578140259,0.48001834750175476
NO,JUVFONNE,3661,2015,2,20140909,20150911,61.677345,8.351158,1880,570,150.0,598.0,60.0,IN,,RGI60-08.00868,1.5833326578140259,0.48001834750175476
